Order Id,Order Date,Month,Customer,Invoice Id,Product Id,Product Name,Qty,Rate,Net Amount,Tax Type,TAX,Tax Amount,Amount
11203,42629,Sep,Customer 2,11191,ITEM-MDH_GARAM_MASALA,MDH - GARAM MASALA 500GM,2,310.5,588.63,VAT,5.5,32.37,621
11203,42629,Sep,Customer 2,11191,11343,Catch Chat Masala 1 Kg,0.5,267.95,126.99,VAT,5.5,6.98,133.97
11203,42629,Sep,Customer 2,11191,ITEM-CORN_FLOUR_1KG_PKT,CORN FLOUR 1KG PKT,5,40,189.57,VAT,5.5,10.43,200
11203,42629,Sep,Customer 2,11191,10871,TASTING SALT 1KG,0.5,134,67,  ,0,0,67
11203,42629,Sep,Customer 2,11191,11273,APPLAM PAPPAD 1 KG,3,230,654.03,VAT,5.5,35.97,690
11203,42629,Sep,Customer 2,11191,11342,Catch Turmeric Powder 1 Kg,1,173.02,164,VAT,5.5,9.02,173.02
11203,42629,Sep,Customer 2,11191,10466,Basumathi Rice 25kg,2,1725,3450,VAT,0,0,3450
11203,42629,Sep,Customer 2,11191,ITEM-TOORDAL21KG,TOOR DAL(2) 1KG,5,115,545.02,VAT,5.5,29.98,575
11203,42629,Sep,Customer 2,11191,11125,GHEE NANDINI 1LTR,4,375,1310.04,VAT,14.5,189.96,1500
11203,42629,Sep,Customer 2,11191,ITEM-GRAMDAL1KG,GRAM DAL/CHANA DAL Q(1) 1KG,5,105,497.63,VAT,5.5,27.37,525
11181,42625,Sep,Customer 1,11169,10090,SUNPOWER 1LTR BOX,3,740,2104.27,VAT,5.5,115.73,2220
